track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts, streams ,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8," $31,873,544.00 ",7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40," $61,245,289.00 ",35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34," $52,294,266.00 ",20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80," $65,156,199.00 ",82,145,65,16,1133,144,,Major,77,75,58,52,0,23,25
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35," $54,266,102.00 ",42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9," $39,709,092.00 ",9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26," $86,444,842.00 ",11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26," $78,300,654.00 ",16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11," $55,842,345.00 ",19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20," $43,857,627.00 ",12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18," $39,058,561.00 ",2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32," $66,902,503.00 ",25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59," $57,876,440.00 ",0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4
Take Two,BTS,1,2023,6,9,674,47," $118,482,347.00 ",20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33," $57,312,735.00 ",20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6," $51,985,779.00 ",6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87," $115,364,561.00 ",74,182,87,14,1093,99,C#,Major,85,83,68,7,0,36,20
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16," $109,276,132.00 ",31,37,31,0,189,140,,Major,63,22,54,46,0,12,8
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38," $107,753,850.00 ",44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16," $94,186,466.00 ",17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4," $86,773,632.00 ",13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5," $70,106,975.00 ",18,41,5,0,19,120,A,Major,78,5,30,21,0,13,5
S-Class,Stray Kids,1,2023,6,2,290,19," $65,496,046.00 ",9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3," $43,522,589.00 ",5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1," $39,666,245.00 ",1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0," $37,126,685.00 ",5,17,5,0,0,135,A,Minor,77,28,55,18,0,22,15
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0," $32,761,689.00 ",3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0," $24,975,653.00 ",3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91," $183,706,234.00 ",67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31," $123,122,413.00 ",22,33,34,7,184,120,,Major,81,63,68,11,0,11,4
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8," $11,956,641.00 ",5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40," $200,647,221.00 ",17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5
Bye,Peso Pluma,1,2023,5,26,324,14," $95,053,634.00 ",13,110,8,2,60,122,,Major,78,70,81,57,0,10,5
Hits Different,Taylor Swift,1,2023,5,26,547,0," $68,616,963.00 ",15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2," $60,350,538.00 ",1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0," $46,142,772.00 ",23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5," $46,065,667.00 ",23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101," $127,408,954.00 ",0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5
Bite Me,ENHYPEN,1,2023,5,22,349,69," $76,767,396.00 ",8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8," $54,225,632.00 ",3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4
TQM,Fuerza Regida,1,2023,5,19,584,28," $176,553,476.00 ",16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7," $81,102,253.00 ",6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0," $57,089,066.00 ",34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4
Cheques,Shubh,1,2023,5,19,67,8," $47,956,378.00 ",7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50," $303,236,322.00 ",84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6
69,"Nicky Jam, Feid",2,2023,5,18,1134,22," $57,945,987.00 ",39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23
Queencard,(G)I-DLE,1,2023,5,15,451,33," $96,273,746.00 ",10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5
fukumean,Gunna,1,2023,5,15,1096,83," $95,217,315.00 ",60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6," $64,533,040.00 ",6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5," $89,933,133.00 ",8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23," $144,565,150.00 ",69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34," $90,839,753.00 ",40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29," $123,124,076.00 ",37,50,79,11,31,144,B,Major,75,35,48,84,0,10,12
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4," $71,573,339.00 ",7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64
Curtains,Ed Sheeran,1,2023,5,5,715,0," $39,893,489.00 ",37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15," $111,947,664.00 ",27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1," $50,847,624.00 ",9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0," $34,502,215.00 ",5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14," $133,753,727.00 ",22,18,15,1,0,74,A#,Minor,53,24,67,11,0,10,28
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13," $92,035,115.00 ",14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4," $77,233,241.00 ",17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4," $61,105,704.00 ",17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9," $76,910,644.00 ",16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6
Super,SEVENTEEN,1,2023,4,24,271,12," $91,221,625.00 ",16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9
Haegeum,Agust D,1,2023,4,21,244,12," $118,810,253.00 ",6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34," $115,010,040.00 ",29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0," $96,180,277.00 ",36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40," $505,671,438.00 ",41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5
Daylight,David Kushner,1,2023,4,14,3528,98," $387,570,742.00 ",80,156,182,24,1281,130,D,Minor,51,32,43,83,0,9,3
Chemical,Post Malone,1,2023,4,14,2528,39," $172,825,906.00 ",56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4," $104,992,946.00 ",0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16," $143,573,775.00 ",35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9
I AM,IVE,1,2023,4,10,366,15," $123,132,751.00 ",16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34," $188,933,502.00 ",19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3
Search & Rescue,Drake,1,2023,4,7,2066,6," $175,097,833.00 ",58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3," $117,747,907.00 ",46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4," $95,816,024.00 ",4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0," $68,216,992.00 ",0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66," $177,740,666.00 ",145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14," $142,095,275.00 ",4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8," $127,026,613.00 ",8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40," $335,222,234.00 ",43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16
FLOWER,JISOO,1,2023,3,31,839,18," $232,896,922.00 ",20,110,20,0,69,124,A,Minor,84,64,39,3,0,11,4
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0," $58,473,276.00 ",8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10," $161,460,990.00 ",15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4
VOID,Melanie Martinez,1,2023,3,29,596,0," $67,070,410.00 ",29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0," $80,758,350.00 ",23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32
HAPPY,NF,1,2023,3,25,660,0," $52,722,996.00 ",22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4
Like Crazy,Jimin,1,2023,3,24,596,68," $363,369,738.00 ",8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50," $357,925,728.00 ",82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14
Like Crazy (English Version),Jimin,1,2023,3,24,373,19," $173,627,354.00 ",4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4
Fast Car,Luke Combs,1,2023,3,24,1446,12," $157,058,870.00 ",57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0," $77,377,503.00 ",16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30," $195,576,623.00 ",116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6
LALA,Myke Towers,1,2023,3,23,1474,48," $133,716,286.00 ",48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3," $100,409,613.00 ",11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44," $553,634,067.00 ",49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38," $250,305,248.00 ",28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13," $168,448,603.00 ",4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46," $127,567,540.00 ",49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9," $117,206,995.00 ",20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13," $113,509,496.00 ",44,34,25,1,171,155,C#,Major,82,51,39,2,0,9,49
What It Is (Solo Version),Doechii,1,2023,3,17,804,25," $95,131,998.00 ",29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50," $725,980,112.00 ",34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6," $116,334,601.00 ",5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48," $211,050,784.00 ",161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12," $162,887,075.00 ",8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44," $223,633,238.00 ",80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,6," $125,917,280.00 ",22,101,0,0,66,140,D#,Minor,66,43,76,49,0,12,3
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2," $116,599,790.00 ",22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4," $88,791,109.00 ",4,20,0,0,0,121,F#,Minor,64,67,80,0,0,36,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0," $81,419,389.00 ",45,11,20,0,21,98,C#,Major,70,29,73,12,0,11,26
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0," $58,890,931.00 ",14,35,1,0,0,148,E,Major,50,49,76,12,0,12,3
ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0," $56,533,272.00 ",6,15,0,0,0,142,D,Major,49,48,67,10,0,26,3
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0," $34,450,974.00 ",5,9,0,0,0,148,,Major,53,61,81,5,0,36,4
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,3,166,0," $32,526,947.00 ",2,10,0,0,0,125,,Major,53,32,66,38,0,9,3
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34," $146,409,671.00 ",10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5," $138,517,666.00 ",7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5
Tattoo,Loreen,1,2023,2,25,2988,59," $201,660,859.00 ",74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47," $518,745,108.00 ",87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77," $496,795,686.00 ",91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3
Moonlight,Kali Uchis,1,2023,2,24,2649,42," $256,483,385.00 ",67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35," $206,399,629.00 ",15,26,30,6,0,80,,Major,52,57,48,86,0,15,39
AMARGURA,Karol G,1,2023,2,24,1133,39," $153,372,011.00 ",14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0," $149,778,242.00 ",32,18,39,2,0,95,,Major,64,30,77,46,0,38,6
Cupid,Fifty Fifty,1,2023,2,24,526,10," $139,681,964.00 ",15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3
TQG,"Karol G, Shakira",2,2023,2,23,4284,49," $618,990,393.00 ",115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0," $105,062,254.00 ",29,3,18,0,19,137,C#,Minor,84,44,67,8,0,11,6
PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,387,11," $93,438,910.00 ",11,15,14,3,1,140,F#,Major,86,68,79,39,0,11,29
Heaven,Niall Horan,1,2023,2,17,1553,2," $144,584,800.00 ",61,6,48,0,150,92,F,Major,57,68,76,7,0,33,3
Cupido,Tini,1,2023,2,14,1240,24," $217,672,943.00 ",51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2," $145,458,418.00 ",12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25," $354,495,408.00 ",10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4," $165,584,767.00 ",81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38," $248,088,961.00 ",19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10," $207,033,255.00 ",0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41," $156,338,624.00 ",154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10," $147,290,338.00 ",4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33," $266,624,541.00 ",45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9," $233,801,632.00 ",14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4," $90,025,258.00 ",8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4
Last Night,Morgan Wallen,1,2023,1,31,2420,19," $429,829,812.00 ",52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4
Everything I Love,Morgan Wallen,1,2023,1,31,579,0," $95,623,148.00 ",11,54,0,0,103,104,G#,Major,56,72,85,0,0,15,3
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0," $83,021,468.00 ",15,17,0,0,0,144,D,Major,68,83,81,9,0,8,4
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21," $255,932,395.00 ",7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5," $153,454,328.00 ",8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9
Love Again,The Kid Laroi,1,2023,1,27,1283,0," $147,538,971.00 ",57,4,48,0,0,107,B,Minor,66,47,40,72,0,11,3
TRUSTFALL,P!nk,1,2023,1,27,2098,16," $134,255,790.00 ",88,24,101,7,451,122,G#,Major,64,25,89,0,0,15,9
LLYLM,ROSALï¿½,1,2023,1,27,1838,0," $124,988,687.00 ",105,41,114,1,59,170,F#,Minor,56,56,63,13,0,19,27
